epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31534,1.95326,3.9779,0.98154,0.00705,0.94444,0.01949,0.01212,0.72163,3.6247,0.81307,4e-05,4e-05,4e-05
2,8.83969,1.42273,3.68237,0.86335,0.00706,0.94444,0.03044,0.02175,0.5783,3.60604,0.78645,6.7e-05,6.7e-05,6.7e-05
3,13.3764,1.2349,3.20847,0.84306,0.00708,0.94444,0.03132,0.01971,0.71156,3.6056,0.78941,5.44e-05,5.44e-05,5.44e-05
